date,Aggravated Assault,Robbery,Larceny-Theft
2008-08-08,37,30,115
2008-08-09,35,19,105
2008-08-10,33,25,77
2008-08-11,19,26,143
2008-08-12,22,26,145
2008-08-13,31,19,114
2008-08-14,22,16,115
2008-08-15,22,21,109
2008-08-16,42,34,97
2008-08-17,31,31,106
2008-08-18,33,21,134
2008-08-19,38,27,141
2008-08-20,20,24,147
2008-08-21,26,20,120
2008-08-22,25,29,128
2008-08-23,26,16,101
2008-08-24,32,26,97
2008-08-25,23,37,143
2008-08-26,40,28,135
2008-08-27,31,40,133
2008-08-28,15,23,119
2008-08-29,17,34,111
2008-08-30,43,28,78
2008-08-31,43,26,92
2008-09-01,25,35,115
2008-09-02,27,24,137
2008-09-03,26,29,151
2008-09-04,20,27,107
2008-09-05,26,24,101
2008-09-06,33,28,96
2008-09-07,22,22,112
2008-09-08,20,30,136
2008-09-09,19,22,145
2008-09-10,28,28,115
2008-09-11,23,23,117
2008-09-12,21,30,132
2008-09-13,24,28,91
2008-09-14,34,31,108
2008-09-15,30,25,128
2008-09-16,38,24,136
2008-09-17,35,30,107
2008-09-18,36,33,128
2008-09-19,30,33,119
2008-09-20,38,32,119
2008-09-21,54,30,108
2008-09-22,24,33,140
2008-09-23,29,30,111
2008-09-24,41,26,111
2008-09-25,17,36,113
2008-09-26,32,29,131
2008-09-27,31,25,139
2008-09-28,33,34,119
2008-09-29,24,18,111
2008-09-30,30,20,109
2008-10-01,25,36,115
2008-10-02,30,22,123
2008-10-03,25,27,119
2008-10-04,34,29,89
2008-10-05,29,35,105
2008-10-06,19,42,127
2008-10-07,21,25,122
2008-10-08,39,26,126
2008-10-09,31,25,118
2008-10-10,18,22,111
2008-10-11,29,25,106
2008-10-12,28,28,95
2008-10-13,34,23,141
2008-10-14,43,30,138
2008-10-15,24,32,130
2008-10-16,36,31,143
2008-10-17,34,33,131
2008-10-18,36,43,106
2008-10-19,21,29,102
2008-10-20,32,29,114
2008-10-21,28,25,114
2008-10-22,23,29,118
2008-10-23,22,32,128
2008-10-24,24,22,114
2008-10-25,33,33,112
2008-10-26,36,37,92
2008-10-27,25,39,122
2008-10-28,21,32,106
2008-10-29,20,20,99
2008-10-30,47,36,142
2008-10-31,25,35,93
2008-11-01,28,37,106
2008-11-02,36,32,90
2008-11-03,27,35,130
2008-11-04,23,28,116
2008-11-05,18,39,119
2008-11-06,20,39,126
2008-11-07,27,31,114
2008-11-08,16,23,110
2008-11-09,22,20,100
2008-11-10,13,34,139
2008-11-11,24,38,126
2008-11-12,25,27,122
2008-11-13,20,36,95
2008-11-14,24,34,109
2008-11-15,35,23,116
2008-11-16,28,25,100
2008-11-17,16,44,113
2008-11-18,14,28,98
2008-11-19,18,29,108
2008-11-20,18,33,95
2008-11-21,23,29,118
2008-11-22,16,19,96
2008-11-23,25,27,90
2008-11-24,26,34,140
2008-11-25,22,23,103
2008-11-26,17,29,113
2008-11-27,30,23,67
2008-11-28,21,26,105
2008-11-29,25,25,106
2008-11-30,23,26,82
2008-12-01,36,28,132
2008-12-02,19,22,106
